Incident_ID,Civilian_Officer,ORI,Gender,Race_Ethnic_Group,Asian_Race,HI_Islander_Race,Age,Injured,Injury_Level,Injury_Type,Medical_Aid,Injury_From_Preexisting_Condition,Received_Force_Location,Order_Of_Force_Specified,Order_Of_Force_Str,Received_Force,Received_Force_Type,DISCHARGE_OF_FIREARM_INDIVIDUAL,DISCHARGE_OF_FIREARM_INCIDENT,CIVILIAN_Signs_Impairment_Disability,CIVILIAN_Assaulted_Officer,CIVILIAN_Highest_Charge,CIVILIAN_Perceived_Armed,CIVILIAN_Perceived_Armed_Weapon,CIVILIAN_Firearm_Type,CIVILIAN_Resisted,CIVILIAN_Resistance_Type,CIVILIAN_Custody_Status,CIVILIAN_Confirmed_Armed,CIVILIAN_Confirmed_Armed_Weapon,CIVILIAN_K12_Type,OFFICER_Officer_Used_Force,OFFICER_Officer_Used_Force_Reason,OFFICER_On_Duty,OFFICER_Dress
URSUS-01-0000-2021-0ce,Civilian,CA0010000,male,black,,,31_35,TRUE,injury,abrasion_laceration,treated_on_scene,FALSE,"head, rear_lower_back",FALSE,"other_control_hold, other_physical_contact",TRUE,"other_control_hold, other_physical_contact",FALSE,FALSE,mental_disability,TRUE,69 OBSTRUCT/RESIST EXEC OFF,FALSE,,,TRUE,active_resistance,in_custody_other,FALSE,,,,,,
URSUS-01-0000-2021-0ce,Officer,CA0010000,male,white,,,41_45,TRUE,serious_injury,bone_fracture,treated_at_facility_released,FALSE,"front_upper_chest, arms_hands",,,TRUE,civilian_physical,FALSE,FALSE,,,,,,,,,,,,,TRUE,"prevent_escape, overcome_resistance",TRUE,utility
URSUS-01-0000-2021-0ce,Officer,CA0010000,male,white,,,26_30,FALSE,,,,FALSE,front_upper_chest,,,TRUE,civilian_physical,FALSE,FALSE,,,,,,,,,,,,,TRUE,"prevent_escape, overcome_resistance",TRUE,utility
URSUS-01-0000-2021-0e4,Civilian,CA0010000,male,black,,,18_20,TRUE,injury,abrasion_laceration,treated_on_scene,FALSE,front_upper_chest,FALSE,"other_control_hold, electronic_device",TRUE,"other_control_hold, electronic_device",FALSE,FALSE,mental_disability,TRUE,148(A)(1) OBSTRUCT/ETC PUB OFCR/ETC,FALSE,,,TRUE,assaultive,in_custody_other,FALSE,,,,,,
URSUS-01-0000-2021-0e4,Officer,CA0010000,male,hispanic,,,26_30,FALSE,,,,FALSE,not_applicable,,,TRUE,civilian_physical,FALSE,FALSE,,,,,,,,,,,,,TRUE,"overcome_resistance, defense",TRUE,utility
URSUS-01-0000-2021-0e4,Officer,CA0010000,male,white,,,26_30,TRUE,serious_injury,internal_injury,treated_at_facility_released,FALSE,arms_hands,,,TRUE,civilian_physical,FALSE,FALSE,,,,,,,,,,,,,TRUE,"overcome_resistance, defense",TRUE,utility
URSUS-01-0000-2021-0e4,Officer,CA0010000,male,hispanic,,,26_30,FALSE,,,,FALSE,not_applicable,,,TRUE,civilian_physical,FALSE,FALSE,,,,,,,,,,,,,TRUE,"overcome_resistance, defense",TRUE,utility
URSUS-01-0000-2021-17f,Civilian,CA0010000,male,white,,,26_30,TRUE,serious_injury,"cut, bruised",treated_at_facility_released,FALSE,"head, rear_upper_back, rear_legs",FALSE,"other_control_hold, other_physical_contact, blunt_impact_weapon",TRUE,"other_control_hold, other_physical_contact, blunt_impact_weapon",FALSE,FALSE,none,FALSE,10851(A) VEHICLE THEFT,FALSE,,,TRUE,active_resistance,in_custody_other,FALSE,,,,,,
URSUS-01-0000-2021-17f,Officer,CA0010000,male,white,,,31_35,TRUE,injury,cut,no_medical_aid,FALSE,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,TRUE,"affect_arrest, prevent_escape",TRUE,utility
URSUS-01-0000-2021-17f,Officer,CA0010000,male,hispanic,,,41_45,FALSE,,,,FALSE,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,TRUE,"affect_arrest, prevent_escape",TRUE,utility
URSUS-01-0000-2021-27f,Civilian,CA0010000,male,asian_indian,,,46_50,TRUE,serious_injury,"unconscious, abrasion_laceration",treated_at_facility_released,FALSE,head,FALSE,"other_control_hold, other_physical_contact",TRUE,"other_control_hold, other_physical_contact",FALSE,FALSE,erratic,TRUE,243(B) BATT PO/EMERG PRSNL/ETC,TRUE,unknown,,TRUE,assaultive,cited_and_released,FALSE,,,,,,
URSUS-01-0000-2021-27f,Officer,CA0010000,male,hispanic,,,26_30,FALSE,,,,FALSE,front_lower_abdomen,,,TRUE,civilian_physical,FALSE,FALSE,,,,,,,,,,,,,TRUE,"affect_arrest, prevent_escape, overcome_resistance",TRUE,utility
URSUS-01-0000-2021-27f,Officer,CA0010000,male,hispanic,,,26_30,FALSE,,,,FALSE,not_applicable,,,TRUE,civilian_physical,FALSE,FALSE,,,,,,,,,,,,,TRUE,"affect_arrest, prevent_escape, overcome_resistance",TRUE,utility
URSUS-01-0000-2021-49e,Civilian,CA0010000,male,white,,,26_30,TRUE,injury,"abrasion_laceration, bruised",treated_at_facility_released,FALSE,"head, front_upper_chest, arms_hands",FALSE,"other_control_hold, other_physical_contact, blunt_impact_weapon",TRUE,"other_control_hold, other_physical_contact, blunt_impact_weapon",FALSE,FALSE,mental_disability,TRUE,69 OBSTRUCT/RESIST EXEC OFF,FALSE,,,TRUE,assaultive,in_custody_other,FALSE,,,,,,
URSUS-01-0000-2021-49e,Officer,CA0010000,male,white,,,36_40,TRUE,serious_injury,bone_fracture,treated_at_facility_released,FALSE,head,,,TRUE,civilian_physical,FALSE,FALSE,,,,,,,,,,,,,TRUE,"affect_arrest, defense",TRUE,utility
URSUS-01-0000-2021-49e,Officer,CA0010000,male,white,,,31_35,FALSE,,,,FALSE,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,TRUE,"affect_arrest, defense",TRUE,utility
URSUS-01-0000-2021-49e,Officer,CA0010000,male,white,,,31_35,FALSE,,,,FALSE,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,TRUE,"affect_arrest, defense",TRUE,utility
URSUS-01-0000-2021-56b,Civilian,CA0010000,male,black,,,26_30,FALSE,,,,FALSE,"arms_hands, front_legs",FALSE,other_control_hold,TRUE,other_control_hold,FALSE,FALSE,none,TRUE,69(A) OBSTRUCT/RESIST EXEC OFCR,FALSE,,,TRUE,assaultive,in_custody_other,FALSE,,,,,,
URSUS-01-0000-2021-56b,Officer,CA0010000,female,hispanic,,,26_30,TRUE,serious_injury,internal_injury,treated_at_facility_released,FALSE,front_legs,,,TRUE,civilian_physical,FALSE,FALSE,,,,,,,,,,,,,TRUE,"affect_arrest, prevent_escape, overcome_resistance",TRUE,utility
URSUS-01-0000-2021-56b,Officer,CA0010000,male,white,,,41_45,FALSE,,,,FALSE,not_applicable,,,TRUE,civilian_physical,FALSE,FALSE,,,,,,,,,,,,,TRUE,"affect_arrest, prevent_escape, overcome_resistance",TRUE,utility
URSUS-01-0000-2021-56b,Officer,CA0010000,male,white,,,46_50,FALSE,,,,FALSE,not_applicable,,,TRUE,civilian_physical,FALSE,FALSE,,,,,,,,,,,,,TRUE,"affect_arrest, prevent_escape, overcome_resistance",TRUE,utility
URSUS-01-0000-2021-60e,Civilian,CA0010000,male,white,,,21_25,TRUE,injury,bruised,treated_on_scene,FALSE,"head, arms_hands",FALSE,"other_control_hold, other_physical_contact",TRUE,"other_control_hold, other_physical_contact",FALSE,FALSE,mental_disability,TRUE,148.10(A) RESIST PO:CAUSE DEATH/SBI,FALSE,,,TRUE,assaultive,in_custody_other,FALSE,,,,,,
URSUS-01-0000-2021-60e,Officer,CA0010000,male,white,,,36_40,TRUE,serious_injury,bone_fracture,treated_at_facility_released,FALSE,arms_hands,,,TRUE,civilian_physical,FALSE,FALSE,,,,,,,,,,,,,TRUE,overcome_resistance,TRUE,utility
URSUS-01-0000-2021-60e,Officer,CA0010000,male,white,,,26_30,FALSE,,,,FALSE,not_applicable,,,TRUE,civilian_physical,FALSE,FALSE,,,,,,,,,,,,,TRUE,overcome_resistance,TRUE,utility
URSUS-01-0000-2021-60e,Officer,CA0010000,male,white,,,26_30,FALSE,,,,FALSE,not_applicable,,,TRUE,civilian_physical,FALSE,FALSE,,,,,,,,,,,,,TRUE,overcome_resistance,TRUE,utility
URSUS-01-0000-2021-8f7,Civilian,CA0010000,male,black,,,21_25,FALSE,,,,FALSE,not_applicable,FALSE,discharge_of_firearm_miss,TRUE,discharge_of_firearm_miss,TRUE,TRUE,none,TRUE,664/187(A) ATT MURDER:PREMEDITATED,TRUE,firearm,handgun,TRUE,life_threatening,in_custody_other,TRUE,firearm,,,,,
URSUS-01-0000-2021-8f7,Officer,CA0010000,male,white,,,26_30,FALSE,,,,FALSE,not_applicable,,,TRUE,discharge_of_firearm_miss,TRUE,TRUE,,,,,,,,,,,,,TRUE,"affect_arrest, overcome_resistance, defense",TRUE,utility
URSUS-01-0000-2021-8f7,Officer,CA0010000,male,black,,,31_35,FALSE,,,,FALSE,not_applicable,,,TRUE,discharge_of_firearm_miss,TRUE,TRUE,,,,,,,,,,,,,TRUE,"affect_arrest, overcome_resistance, defense",TRUE,utility
URSUS-01-0000-2021-8f7,Officer,CA0010000,male,white,,,26_30,FALSE,,,,FALSE,not_applicable,,,TRUE,discharge_of_firearm_miss,TRUE,TRUE,,,,,,,,,,,,,TRUE,"affect_arrest, overcome_resistance, defense",TRUE,utility
URSUS-01-0000-2021-a5f,Civilian,CA0010000,male,hispanic,,,36_40,TRUE,serious_injury,bone_fracture,treated_at_facility_released,FALSE,arms_hands,FALSE,other_control_hold,TRUE,other_control_hold,FALSE,FALSE,drug_impairment,TRUE,148(A)(1) OBSTRUCT/ETC PUB OFCR/ETC,TRUE,unknown,,TRUE,assaultive,cited_and_released,FALSE,,,,,,
URSUS-01-0000-2021-a5f,Officer,CA0010000,male,white,,,46_50,FALSE,,,,FALSE,front_upper_chest,,,TRUE,civilian_physical,FALSE,FALSE,,,,,,,,,,,,,TRUE,"affect_arrest, overcome_resistance",TRUE,utility
URSUS-01-0000-2021-a5f,Officer,CA0010000,male,hispanic,,,51_55,FALSE,,,,FALSE,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,TRUE,"affect_arrest, overcome_resistance",TRUE,utility
URSUS-01-0000-2021-af0,Civilian,CA0010000,male,black,,,18_20,FALSE,,,,FALSE,"head, front_upper_chest, arms_hands",FALSE,"other_control_hold, other_physical_contact, electronic_device",TRUE,"other_control_hold, other_physical_contact, electronic_device",FALSE,FALSE,none,TRUE,148.10(A) RESIST PO:CAUSE DEATH/SBI,FALSE,,,TRUE,assaultive,in_custody_other,FALSE,,,,,,
URSUS-01-0000-2021-af0,Officer,CA0010000,male,asian,filipino,,36_40,TRUE,serious_injury,"bone_fracture, bruised",treated_at_facility_released,FALSE,"head, arms_hands",,,TRUE,civilian_physical,FALSE,FALSE,,,,,,,,,,,,,TRUE,overcome_resistance,TRUE,utility
URSUS-01-0000-2021-b48,Civilian,CA0010000,female,black,,,26_30,TRUE,injury,abrasion_laceration,treated_on_scene,FALSE,"rear_lower_back, arms_hands, rear_legs",FALSE,other_control_hold,TRUE,other_control_hold,FALSE,FALSE,mental_disability,TRUE,69(A) OBSTRUCT/RESIST EXEC OFCR,FALSE,,,TRUE,assaultive,in_custody_other,FALSE,,,,,,
URSUS-01-0000-2021-b48,Officer,CA0010000,female,black,,,31_35,TRUE,injury,"sprain, bruised",treated_at_facility_released,FALSE,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,TRUE,overcome_resistance,TRUE,utility
URSUS-01-0000-2021-b48,Officer,CA0010000,female,white,,,46_50,TRUE,serious_injury,internal_injury,treated_at_facility_released,FALSE,arms_hands,,,TRUE,civilian_physical,FALSE,FALSE,,,,,,,,,,,,,TRUE,"overcome_resistance, defense",TRUE,utility
URSUS-01-0000-2021-b48,Officer,CA0010000,male,white,,,41_45,FALSE,,,,FALSE,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,TRUE,"overcome_resistance, defense",TRUE,utility
URSUS-01-0000-2021-c38,Civilian,CA0010000,male,black,,,36_40,FALSE,,,,FALSE,arms_hands,FALSE,other_control_hold,TRUE,other_control_hold,FALSE,FALSE,none,FALSE,148(A)(1) OBSTRUCT/ETC PUB OFCR/ETC,FALSE,,,TRUE,active_resistance,in_custody_other,FALSE,,,,,,
